0,NUMBER,Quest. A1,Quest. A1 bis,A2,A3,A4,A5,A5 bis,A6,A7,A8,A9,B1,B1 bis,B2,B3,B3 bis,B4,B4 bis,B5,B5 bis,C1,C1 bis,C2,C2 bis,C3,C3 bis,C4,COMMENTS(C4)
106,S26,2,France,1,3,7,11,18,1,2,Earth sciences,2,2.0-3.0-4.0-6.0-7.0,0,4,2,0,3,0,4.0-5.0,Experiment evaluations,2.0-3.0-6.0,0,2.0-3.0-5.0,0,1,0,1,NON CAPISCO
107,S27,2,France,1,3,3,15,18,2,2,Earth subjects,3,1.0-2.0-3.0-4.0-7.0,0,2,2,0,2.0-3.0-4.0-5.0,0,4.0-5.0,0,3.0-6.0-7.0,Not enought,2.0-3.0-4.0-5.0,0,1.0-2.0-3.0-4.0,0,2,0
108,S28,2,France,0,0,7,12,18,2,3,0,2,1.0-2.0-3.0-4.0-7.0,0,4,2,0,1.0-3.0-5.0,0,1,0,3.0-4.0-6.0,0,3.0-5.0,0,1.0-2.0-3.0-4.0,0,1,Planet Terre
109,S29,2,France,0,2,7,12,18,2,1,0,2,2.0-3.0,0,4,0,0,1.0-2.0-3.0,0,4,0,5.0-6.0,0,2.0-3.0-5.0,0,4,0,2,0
110,S30,2,France,0,3,7,12,18,2,3,0,3,1.0-2.0-4.0-7.0,0,4,2,0,1.0-2.0-3.0-4.0-6.0,A mix of all this,4,0,3.0-6.0,0,2.0-3.0-5.0,0,1.0-2.0-4.0,0,2,0
111,S31,18,Estonia,1,2,3,15,19,2,3,"earth sciences, geology",1,1.0-2.0-3.0-4.0-5.0,0,4,2,0,1.0-2.0-3.0-5.0,0,3.0-4.0,0,3.0-4.0,0,2.0-3.0-5.0,0,2.0-4.0,0,1,"google, kadiedu"
112,S32,18,Estonia,1,2,3,15,19,2,3,"geography, earth sciences, biology, geoinformatics, geology",1,1.0-2.0-3.0-4.0,0,4,2,0,1.0-2.0-3.0-4.0-5.0,0,3.0-4.0,0,3.0-4.0,0,2.0-3.0-5.0,0,2.0-4.0,0,1,google
113,S33,1,Italy,1,3,5,14,19,2,2,0,1,2.0-3.0,0,4,2,0,2.0-3.0,0,2.0-4.0,0,1.0-2.0-5.0,0,2.0-3.0,0,1.0-4.0,0,0,0
114,S34,1,Italy ,1,3,5,14,19,1,1,"rocks, soil, geomorphology, vulcanism, all topics italian indications",1,1.0-2.0-3.0-4.0-5.0-7.0,0,0,1,"soil, rocks with IBSE methodologies",2.0-3.0,0,2.0-4.0,0,3.0-4.0-6.0,0,3.0-4.0-5.0,0,1,0,2,"SAME, IBSE"
115,S35,15,Finland,1,3,3,13,16,4,2,"iceage, formation of rocks (in geography)",2,1.0-2.0-3.0-5.0-6.0-7.0,0,4,2,0,1.0-2.0,0,2.0-3.0,0,3.0-4.0,0,1.0-2.0-5.0,0,1.0-2.0-4.0,0,1,google (twitter)
116,S36,4,Austria,4,2,8,10,18,0,2,"geography, biology",1,1.0-2.0-3.0-4.0-5.0-7.0,0,4,0,0,1.0-2.0-3.0,0,1.0-2.0-3.0-4.0,0,3.0-4.0-5.0,0,2.0-3.0-4.0,0,1,0,1,different
117,S37,9,Romania,3,3,4,15,19,3,3,"in primary school the students learn sciences then physics, chemistry, biology, geography,",1,3.0-4.0-8.0,0,4,0,0,1.0-2.0-3.0-6.0,STEM PBL project based learning,5,projects,2.0-3.0-5.0-6.0,0,2.0-3.0-6.0,working in projects,0,0,1,different searching NON CAPISCO
118,S38,6,Portugal,3,2,3,15,18,7,2,0,2,3.0-4.0,0,4,2,0,1,0,1,0,3,0,3,0,1,0,1,0
