0,Music,Slow songs or fast songs,Dance,Folk,Country,Classical music,Musical,Pop,Rock,Metal or Hardrock
631,5,5,4,1,3,2,3,5,4,3
632,5,3,5,2,1,4,5,4,5,3
633,5,4,4,3,2,2,2,4,3,3
634,5,4,3,5,3,1,1,4,3,1
635,5,3,3,4,2,4,4,4,3,2
636,4,2,4,4,2,3,4,4,4,1
637,5,3,3,5,4,3,3,4,4,1
638,5,2,2,3,2,4,3,5,5,2
639,5,3,3,3,2,2,5,5,5,3
640,5,3,2,1,2,1,1,1,5,5
641,5,4,5,2,2,4,3,5,5,4
642,5,3,3,3,3,3,3,4,3,2
643,4,3,4,4,2,5,5,3,3,2
644,5,3,4,2,1,,3,4,5,1
645,4,5,3,3,2,2,2,5,4,2
646,5,4,4,2,1,4,4,3,2,1
647,4,3,3,1,2,3,4,4,4,1
648,5,3,3,1,3,5,4,5,3,1
649,5,4,5,5,2,2,5,4,3,1
650,5,3,5,2,2,2,2,3,3,3
651,5,3,4,1,1,1,2,4,2,1
652,5,4,4,2,2,3,2,3,3,2
653,4,3,3,2,1,3,1,5,4,1
654,5,3,3,2,2,3,2,3,5,5
655,4,3,4,3,2,3,2,5,3,2
656,5,3,3,2,2,2,2,3,5,3
657,5,3,2,2,2,4,2,2,5,3
658,5,3,4,1,1,1,3,5,3,1
659,5,3,5,2,2,3,2,2,2,2
660,5,2,2,1,1,3,3,4,5,4
661,5,3,2,2,1,3,1,4,5,3
662,5,4,3,1,1,2,3,3,1,1
663,5,4,3,2,2,1,3,4,4,1
664,5,3,3,3,2,4,3,,3,4
665,5,2,3,4,4,3,4,1,2,1
666,5,3,1,2,1,3,1,2,5,5
667,5,3,2,1,2,2,2,2,5,3
668,5,3,2,1,1,5,3,1,2,1
669,5,3,1,2,3,4,2,2,5,5
670,4,3,4,2,3,3,4,3,3,3
671,5,3,3,2,2,2,3,3,3,3
672,5,3,3,3,3,2,3,3,3,1
673,3,1,2,4,2,5,5,4,4,2
674,4,3,2,2,1,3,4,5,4,2
675,5,4,3,3,1,3,1,3,5,3
676,5,3,3,3,3,3,5,5,4,2
677,5,4,2,2,1,2,2,1,2,2
678,4,3,3,2,1,3,3,4,3,2
679,5,3,2,3,3,3,3,2,5,5
680,5,3,2,2,1,2,2,1,5,2
681,5,4,4,3,4,2,4,5,5,2
682,5,5,4,3,2,4,4,3,5,5
683,4,4,4,2,3,3,3,4,4,3
684,5,3,2,5,5,3,3,5,5,4
685,5,5,5,1,1,2,3,5,4,1
686,5,3,3,2,3,3,4,4,3,2
687,2,4,4,4,4,4,3,4,4,3
688,5,3,3,1,2,3,3,3,5,4
689,5,4,4,3,1,3,4,4,5,1
690,5,3,3,1,2,2,1,4,4,1
691,5,4,4,1,2,3,2,2,4,1
692,5,3,4,2,2,2,3,3,4,4
693,5,3,2,3,3,3,3,4,5,5
694,5,3,3,2,2,3,2,4,3,2
695,5,3,3,3,4,5,2,3,5,4
696,5,4,4,2,2,3,5,5,4,2
697,5,3,3,5,3,1,5,5,3,1
698,5,3,3,1,1,3,3,4,5,3
699,5,5,5,4,1,3,3,5,3,1
700,5,3,4,3,1,2,3,5,3,1
701,5,3,3,3,2,1,1,1,4,2
702,5,5,5,4,3,4,2,2,2,1
703,5,2,1,3,3,5,2,4,5,5
704,4,3,3,3,3,3,2,3,4,4
705,5,3,4,2,1,2,4,5,5,1
706,5,4,5,1,2,4,3,3,5,3
707,5,3,4,2,3,3,4,5,4,2
708,5,3,2,2,1,3,4,3,4,5
709,5,4,2,1,1,2,3,5,3,1
710,5,3,3,2,2,2,2,3,5,5
711,4,4,4,3,3,2,2,5,4,1
712,4,3,3,3,4,2,2,4,4,2
713,5,3,2,2,2,2,4,4,3,1
714,5,3,3,4,4,3,3,3,4,1
715,5,3,5,3,3,1,3,3,5,1
716,4,3,2,3,3,3,4,2,5,5
717,5,3,2,4,5,5,3,2,3,2
718,5,3,1,1,1,4,3,4,4,2
719,5,4,3,2,2,4,3,5,5,4
720,4,3,3,1,3,3,1,5,3,3
721,4,3,4,2,1,5,3,3,2,4
722,5,3,3,5,1,5,3,4,4,1
723,5,3,3,3,2,5,3,5,5,2
724,5,3,4,2,3,3,4,5,4,1
725,4,3,5,3,3,2,5,5,3,2
726,5,4,4,2,2,4,1,4,2,1
727,5,3,2,4,2,1,1,5,2,1
728,5,2,2,1,3,1,1,5,5,3
729,5,4,5,1,3,2,5,5,2,1
730,5,3,2,2,2,5,4,4,5,4
731,5,4,1,2,1,3,3,1,5,5
732,5,3,3,2,2,3,2,4,4,1
733,5,4,2,1,1,4,2,3,3,2
734,4,3,3,5,5,5,4,3,4,2
735,5,3,3,4,5,5,5,3,2,2
736,2,1,1,3,2,4,2,1,1,1
737,4,3,5,2,4,5,5,4,5,4
738,5,1,3,2,1,3,4,3,4,2
739,5,5,4,1,1,1,1,3,5,4
740,5,5,3,3,4,4,4,4,5,5
741,4,3,5,2,2,2,2,4,4,2
742,5,3,3,5,1,5,3,3,3,1
743,5,3,1,3,4,5,3,2,4,2
744,2,3,2,2,2,2,2,2,4,4
745,5,4,2,3,,5,4,2,5,4
746,5,3,3,4,3,2,2,3,4,2
747,5,3,3,1,2,3,3,4,5,2
748,5,3,4,3,1,5,4,4,2,4
749,5,3,3,3,3,5,4,3,4,4
750,5,3,2,4,4,1,1,1,5,3
751,5,3,5,5,2,5,3,3,3,1
752,5,3,2,4,1,5,5,5,5,3
753,5,4,5,2,1,3,4,5,3,1
754,5,3,3,2,2,4,3,3,4,2
755,4,4,2,1,3,2,1,4,3,2
756,5,3,2,2,3,3,3,3,5,5
757,5,4,3,,4,,3,4,5,5
758,5,3,5,3,3,5,5,2,3,1
759,5,5,4,1,1,2,1,3,1,1
760,5,3,5,4,3,5,5,5,4,3
761,5,3,5,2,2,2,2,5,5,4
762,5,4,3,1,1,1,1,4,1,1
763,5,3,4,1,1,1,1,3,3,1
764,5,3,3,2,1,3,3,3,5,3
765,5,2,3,1,2,3,4,5,3,1
766,5,3,2,1,2,4,3,4,5,5
767,5,5,5,5,5,4,4,4,4,5
768,1,1,2,3,4,3,3,2,2,5
769,4,3,3,1,2,3,1,4,3,2
770,3,3,3,3,3,3,3,3,3,3
771,1,1,1,1,1,1,1,1,1,1
772,5,2,2,4,4,4,2,3,5,5
773,5,4,3,1,2,4,3,4,2,1
774,5,4,4,2,2,2,2,3,5,5
775,3,3,2,1,1,4,3,2,2,1
776,5,3,2,1,1,4,3,3,4,1
777,5,3,,5,1,3,3,4,5,1
778,5,5,3,1,2,3,2,5,3,1
779,5,3,2,1,1,1,3,5,2,1
780,5,3,3,3,4,4,4,3,3,2
781,5,3,3,1,2,2,3,4,4,1
782,4,2,4,1,2,3,2,3,3,1
783,5,3,2,3,4,4,4,3,5,5
784,5,3,2,5,2,4,5,4,5,4
785,4,3,4,3,1,4,4,4,3,1
786,4,4,3,3,3,3,4,5,2,3
787,5,3,3,2,2,4,3,4,5,4
788,5,3,2,2,1,2,4,5,2,2
789,5,3,2,1,2,3,3,4,3,2
790,5,5,4,3,3,5,3,5,4,1
791,5,5,3,2,2,4,1,2,5,5
792,5,3,3,1,1,3,1,3,2,1
793,5,4,3,2,2,3,1,3,4,3
794,2,3,3,1,2,3,3,3,2,4
795,4,5,3,1,1,1,1,5,2,1
796,5,1,5,1,5,1,5,1,5,1
797,3,5,3,2,2,4,3,5,1,4
798,5,1,5,1,2,3,4,2,2,1
799,5,3,3,2,1,4,3,4,5,3
800,5,3,1,2,3,4,5,2,4,5
801,5,3,4,1,1,2,4,4,3,1
802,4,5,5,1,1,1,1,4,5,3
803,5,5,5,3,2,2,2,5,4,4
804,5,5,2,1,1,2,4,3,5,4
805,5,1,4,1,1,4,4,5,5,3
806,5,4,4,3,1,3,5,5,5,5
807,1,1,1,1,1,1,1,1,1,1
808,3,3,1,3,3,5,5,3,2,2
809,5,4,3,1,2,3,2,5,5,3
810,4,3,4,1,1,2,1,2,2,2
811,5,3,2,3,4,5,5,1,5,5
812,5,3,2,3,3,4,2,3,5,4
813,5,4,1,1,1,1,1,1,1,1
814,5,4,2,1,1,1,1,2,2,3
815,5,4,4,3,1,5,4,4,3,2
816,5,5,2,3,4,3,1,2,5,5
817,5,4,3,3,1,4,3,4,5,5
818,3,4,1,1,1,1,2,5,5,2
819,4,4,3,3,1,4,1,4,4,4
820,5,5,3,1,2,2,1,4,2,1
821,5,3,2,2,2,4,5,3,5,2
822,5,3,2,2,2,5,4,4,5,5
823,5,4,3,1,1,2,3,5,4,1
824,5,2,3,2,2,3,1,3,2,1
825,5,3,1,1,2,5,1,3,5,3
826,4,3,1,3,1,4,2,2,5,4
827,5,3,3,3,1,4,4,4,5,3
828,5,3,3,4,3,4,5,4,5,3
829,1,3,4,1,2,1,2,4,5,3
830,5,3,1,2,2,5,4,3,5,5
831,5,3,4,2,1,3,2,4,3,1
832,5,,4,2,4,4,4,5,4,3
833,5,3,3,4,5,5,5,2,5,3
834,3,3,2,1,1,4,3,3,4,1
835,4,3,4,3,2,4,4,3,5,4
836,4,3,3,2,2,2,3,5,4,1
837,5,3,2,1,1,2,3,4,5,5
838,5,3,4,3,2,5,3,2,5,5
839,5,5,4,1,1,1,2,5,4,1
840,4,3,4,2,1,2,4,4,3,1
841,5,4,2,3,3,1,4,5,5,1
842,5,5,4,3,3,2,1,4,4,3
843,,5,4,2,1,3,3,4,5,1
844,5,4,4,2,3,3,3,4,4,2
845,5,4,2,5,4,5,5,2,3,2
846,4,4,3,1,1,1,3,5,1,1
847,5,3,5,2,2,3,3,4,2,1
848,5,2,3,4,2,5,5,5,5,2
849,5,2,2,1,1,3,1,3,5,3
850,3,2,1,4,4,5,3,2,2,1
851,4,3,4,1,2,3,4,4,2,1
852,5,5,3,1,1,2,2,2,2,1
853,5,4,2,1,2,2,1,2,2,1
854,5,3,4,4,2,3,4,3,3,1
855,5,2,4,2,1,1,2,3,3,1
856,5,4,5,3,3,3,2,5,4,3
857,5,3,3,2,1,3,4,4,5,3
858,5,4,4,2,3,3,5,4,3,1
859,3,1,3,3,2,5,,2,3,3
860,5,3,4,4,2,3,3,4,3,2
861,5,3,4,3,3,3,3,3,4,4
862,5,3,3,2,1,3,1,3,5,1
863,5,4,4,2,2,3,2,5,4,3
864,5,5,3,2,2,4,4,3,2,1
865,5,3,3,2,3,3,4,3,5,4
866,4,2,4,3,2,3,4,3,4,2
867,4,3,2,3,3,4,4,2,5,4
868,5,3,4,2,4,2,3,4,3,1
869,5,4,3,4,3,2,4,4,,3
870,5,3,2,1,2,5,4,4,5,3
871,5,4,4,2,1,2,1,5,3,3
872,5,3,3,2,1,4,3,3,5,4
873,5,3,2,3,1,3,3,3,5,3
874,4,4,4,2,2,3,3,3,4,2
875,5,3,5,1,1,1,2,3,2,1
876,5,3,3,1,1,1,,3,2,1
877,5,3,3,1,2,3,1,4,1,1
878,5,3,1,3,5,3,1,1,5,3
879,4,2,2,2,2,4,5,4,4,2
880,4,5,5,1,4,2,1,2,4,5
881,5,3,5,1,2,1,2,3,2,1
882,5,3,1,1,3,5,5,4,5,2
883,5,4,4,1,1,2,1,2,4,3
884,5,3,3,1,1,2,3,4,3,1
885,5,3,4,2,1,4,1,4,5,3
886,3,4,3,2,2,2,3,4,4,4
887,5,5,3,2,1,3,1,3,4,5
888,4,3,3,2,4,,3,2,5,3
889,5,3,3,2,1,2,2,4,4,3
890,5,3,3,3,4,5,3,3,4,3
891,5,3,5,1,2,3,2,4,3,1
892,5,3,4,3,2,1,3,4,4,2
893,5,3,3,3,2,2,3,3,5,3
894,5,3,2,3,4,3,2,2,4,3
895,5,4,3,1,1,2,3,3,5,3
896,4,4,4,2,3,2,2,3,3,1
897,5,3,2,3,4,3,4,2,5,3
898,5,3,2,2,3,1,2,4,3,1
899,5,3,2,2,1,3,2,2,5,2
900,5,3,2,,2,2,1,3,3,2
901,5,2,2,1,2,3,4,3,3,1
902,4,3,1,2,2,2,2,3,3,1
903,5,3,1,2,2,3,1,2,3,2
904,5,5,2,4,3,2,1,1,5,5
905,3,3,2,1,2,2,5,5,3,1
906,5,3,4,3,3,2,2,4,4,1
907,5,3,5,3,1,5,5,2,1,1
908,5,4,4,3,2,2,3,5,3,2
909,5,2,3,2,3,2,1,4,4,3
910,5,3,4,3,2,3,4,4,3,2
911,5,4,2,1,1,3,4,4,5,1
912,5,3,2,2,1,4,5,3,5,5
913,5,4,4,2,1,1,1,4,3,2
914,5,3,4,4,2,4,3,3,4,1
915,5,4,2,3,1,5,3,3,5,4
916,4,4,5,2,3,1,3,4,4,3
917,4,3,2,2,1,3,1,3,5,4
918,5,4,2,2,2,3,2,2,5,4
919,4,3,2,2,1,2,4,4,5,5
920,5,1,3,2,1,3,1,3,4,4
921,4,4,3,3,3,3,5,3,4,3
922,5,3,4,2,2,1,1,4,3,2
923,5,3,5,1,1,3,2,5,3,1
924,5,4,2,2,1,5,2,4,4,2
925,5,3,3,1,1,1,1,3,2,1
926,5,3,4,3,3,2,4,3,2,1
927,5,3,3,2,2,2,2,2,4,3
928,5,3,5,1,1,1,1,5,3,1
929,5,3,4,2,2,5,3,4,3,2
930,3,2,3,5,1,4,2,4,2,3
931,5,3,3,2,1,2,3,3,2,2
932,5,3,4,2,2,1,3,4,3,4
933,5,3,4,2,2,1,3,5,3,2
934,5,3,2,2,3,5,4,3,4,2
935,5,3,3,2,2,2,3,3,4,5
936,5,3,3,1,1,1,2,5,2,1
937,4,3,2,3,2,3,1,4,3,4
938,5,3,4,1,1,5,4,5,5,4
939,5,3,2,5,1,5,1,4,5,2
940,4,3,4,1,4,5,3,4,4,1
941,5,3,2,1,1,3,3,3,3,1
942,5,3,3,2,1,2,2,4,4,3
943,5,2,5,3,2,4,1,4,2,1
944,4,3,3,2,1,5,2,3,,1
945,5,4,3,3,2,4,3,5,4,1
946,5,2,5,2,3,3,3,4,4,4
947,5,5,2,1,2,4,3,3,5,5
948,5,3,3,1,1,2,1,3,3,3
949,5,3,4,3,2,3,4,4,3,1
950,5,3,3,2,3,1,2,3,4,3
951,5,3,2,3,,4,2,4,5,5
952,4,3,4,1,1,1,1,4,3,2
953,5,2,3,3,3,4,3,4,5,3
954,5,3,3,1,3,3,3,5,4,1
955,5,3,5,3,2,2,3,3,3,1
956,5,3,2,1,2,1,1,2,5,5
957,5,4,3,1,4,3,4,4,4,3
958,5,4,2,1,1,1,2,2,2,1
959,5,5,5,3,1,3,3,4,1,1
960,4,3,3,2,3,4,4,4,3,2
961,5,3,4,4,1,5,1,3,5,5
962,5,3,4,4,1,3,4,5,3,1
963,5,2,3,4,4,5,3,2,1,1
964,4,4,4,3,3,5,1,5,4,1
965,5,4,3,2,3,3,3,3,5,5
966,5,5,5,3,3,3,5,5,5,2
967,5,5,1,1,1,5,5,1,1,1
968,5,3,2,2,2,3,2,2,5,5
969,5,4,3,2,2,3,3,4,3,2
970,5,3,2,1,2,3,2,4,5,4
971,5,3,5,1,4,5,5,3,4,2
972,5,4,2,4,3,4,2,2,5,4
973,5,3,3,3,3,3,4,3,5,2
974,5,3,2,5,5,4,5,2,5,5
975,5,3,1,2,2,2,2,2,5,5
976,5,3,5,5,5,5,5,5,5,5
977,5,3,4,2,3,3,5,5,5,2
978,5,4,4,2,2,1,1,4,4,3
979,5,2,2,1,2,2,1,4,5,5
980,5,3,4,2,2,4,4,5,5,1
981,5,3,2,2,2,5,1,4,4,4
982,5,4,1,2,4,5,5,3,4,1
983,5,4,2,1,1,3,2,2,4,3
984,5,4,3,1,1,3,3,5,3,1
985,5,2,1,3,2,3,3,3,4,4
986,5,2,1,3,2,4,2,4,5,3
987,4,3,2,5,3,5,2,2,4,2
988,4,3,2,2,3,2,1,1,5,3
989,5,2,3,2,2,5,2,2,5,2
990,5,5,3,2,2,4,5,5,5,5
991,5,4,2,1,1,2,2,3,4,4
992,5,5,2,1,1,1,1,1,5,5
993,4,4,4,1,4,4,1,3,4,4
994,5,3,3,1,2,3,1,4,4,1
995,5,4,3,2,2,3,4,3,5,3
996,5,4,2,1,1,1,2,1,4,4
997,5,3,1,1,1,3,2,1,4,3
998,5,4,3,3,3,1,3,3,4,2
999,5,4,4,3,1,3,2,3,5,5
1000,5,5,5,3,4,5,4,4,4,3
1001,5,3,3,3,2,3,3,4,3,1
1002,5,5,5,1,2,1,4,4,3,2
1003,5,5,3,1,3,1,1,2,5,5
1004,4,3,4,3,2,2,3,4,5,2
1005,5,3,4,1,2,3,2,3,3,4
1006,5,2,5,2,2,5,4,4,4,3
1007,4,4,5,1,3,4,1,4,1,1
1008,4,3,1,1,2,2,2,3,4,1
1009,5,3,3,3,1,3,1,3,4,1
1010,5,5,4,3,2,3,3,4,1,1
