0,Music,Slow songs or fast songs,Dance,Folk,Country,Classical music,Musical,Pop,Rock,Metal or Hardrock
45,4,4,4,2,1,3,3,4,4,1
46,5,4,5,2,2,4,3,5,4,1
47,5,3,4,3,4,1,5,5,5,3
48,5,3,3,1,1,2,3,4,4,2
49,5,4,3,1,1,1,4,3,2,1
50,5,4,2,1,2,2,2,3,5,3
51,4,3,2,4,2,5,5,5,5,2
52,5,3,3,3,1,4,3,5,4,3
53,5,3,5,5,5,5,5,5,5,4
54,5,3,4,4,3,4,5,4,3,2
55,5,3,5,5,3,5,5,5,5,4
56,5,3,4,2,2,4,3,4,3,3
57,5,3,1,2,3,4,3,4,5,1
58,5,3,3,3,2,3,2,2,5,2
59,5,5,5,3,2,3,2,5,1,1
60,5,4,2,1,2,3,1,3,4,3
61,5,2,2,2,2,4,4,4,4,1
62,5,3,5,1,2,4,3,4,4,1
63,5,3,5,4,5,4,4,5,4,5
64,5,4,,1,3,2,1,2,3,1
65,5,3,3,1,1,1,4,4,5,1
66,4,3,3,1,2,2,1,3,3,3
67,4,3,4,2,2,2,4,5,3,4
68,3,4,4,3,2,2,4,5,1,1
69,5,5,3,2,1,2,4,3,5,5
70,5,4,1,1,1,1,4,5,4,1
71,5,3,5,2,2,2,3,5,3,1
72,4,3,2,3,1,4,1,4,1,1
73,5,3,2,2,2,2,5,5,5,2
74,5,3,3,2,2,2,1,5,2,1
75,5,3,2,1,4,5,3,2,1,1
76,5,3,3,4,4,3,1,1,5,4
77,4,4,4,1,1,2,2,2,2,1
78,5,3,5,1,2,2,2,5,4,2
79,4,4,4,2,4,1,5,5,3,1
80,5,3,4,4,4,3,4,5,5,2
81,5,3,4,2,2,2,3,4,5,2
82,5,4,4,1,2,3,3,5,4,2
83,5,5,1,3,1,3,2,1,5,5
84,5,3,5,1,2,4,4,5,5,3
85,5,3,1,1,4,5,5,1,5,5
86,5,2,3,3,5,5,3,3,4,4
87,4,3,4,3,3,3,2,4,5,3
88,5,4,4,1,2,2,4,4,5,2
89,5,5,5,1,1,5,2,5,5,1
90,5,3,3,2,1,4,3,3,5,3
91,4,2,3,2,1,3,4,3,4,1
92,5,5,1,5,1,,5,3,5,5
93,5,2,1,3,4,4,4,2,3,1
94,5,4,1,5,5,4,4,4,3,3
95,5,5,5,1,1,1,2,4,3,1
96,5,3,3,2,2,4,3,3,3,1
97,5,3,1,1,1,1,1,2,4,5
98,5,3,2,1,1,1,1,2,1,1
99,3,5,5,1,1,1,1,3,5,2
100,5,3,4,1,1,2,2,4,2,1
101,5,4,4,3,2,4,5,4,5,3
102,5,3,1,3,2,3,1,2,4,5
103,5,3,1,2,3,5,4,1,5,2
104,5,5,5,2,2,,4,5,1,1
105,4,4,3,3,2,4,2,2,4,4
106,5,5,1,3,1,3,2,2,4,5
107,5,3,4,4,5,5,3,4,5,1
108,5,3,1,1,1,2,2,2,4,4
109,4,3,2,2,1,4,1,2,4,4
110,5,2,2,2,4,4,2,3,5,5
111,5,4,4,5,2,3,1,4,4,1
112,5,3,4,3,2,5,3,3,4,2
113,5,3,4,2,2,4,3,3,3,2
114,3,4,4,2,3,1,2,4,4,2
115,5,3,2,1,1,3,4,4,4,1
116,5,4,5,2,2,5,4,5,5,2
117,5,3,2,2,2,2,1,3,5,1
118,5,3,2,2,1,1,3,5,3,2
119,5,3,1,2,2,4,1,3,4,2
120,4,2,4,2,1,3,2,4,2,2
121,5,5,4,1,2,4,4,2,5,5
122,4,3,2,3,4,2,1,4,4,2
123,5,3,3,2,2,5,3,1,5,2
124,5,3,3,3,3,3,4,3,5,3
125,4,4,1,4,,5,5,3,5,3
126,5,3,3,3,2,3,2,2,4,3
127,3,5,4,1,1,3,1,4,4,1
128,4,3,3,3,4,4,3,4,4,3
129,5,5,5,1,5,5,5,5,5,5
130,5,4,5,3,1,2,2,4,5,2
131,4,2,2,1,1,4,2,2,5,3
132,5,4,3,1,1,2,2,4,2,1
133,5,4,3,1,1,1,1,4,4,1
134,5,3,2,4,1,4,2,1,3,1
135,5,3,4,3,3,3,3,3,3,1
136,5,3,2,1,3,5,1,3,5,4
